State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
72,Puerto Rico,3468963.0,40.1,19775.0,12081.0,1543220.0,44.48649351405593,6.3591626661915965
01,Alabama,4850771.0,38.7,46472.0,25746.0,849699.0,17.51678238366643,3.4095816933019516
02,Alaska,738565.0,33.9,76114.0,35065.0,73380.0,9.935482997434214,4.00073114756318
04,Arizona,6809946.0,37.2,53510.0,27964.0,1128046.0,16.564683479134782,3.317368449030286
05,Arkansas,2977944.0,37.9,43813.0,24426.0,524211.0,17.603118124450962,2.858616548867272
06,California,38982847.0,36.1,67169.0,33128.0,5773408.0,14.81012405276608,3.825133654296722
08,Colorado,5436519.0,36.5,65458.0,34845.0,612143.0,11.259833728163187,2.811652088404363
09,Connecticut,3594478.0,40.8,73781.0,41365.0,350783.0,9.758941353932338,3.9146713375349633
11,District of Columbia,672391.0,33.9,77649.0,50832.0,111025.0,16.51196996985385,4.651906405647904
10,Delaware,943732.0,39.8,63036.0,32625.0,111304.0,11.79402627016992,3.2048293371423244
12,Florida,20278447.0,41.8,50883.0,28774.0,3070972.0,15.144019657915619,3.4475864941728527
13,Georgia,10201635.0,36.4,52977.0,28015.0,1679030.0,16.458440240216397,3.6521694806763816
15,Hawaii,1421658.0,38.8,74923.0,32511.0,143148.0,10.06908834614232,2.4183031361973133
16,Idaho,1657375.0,35.9,50985.0,25471.0,236000.0,14.239384568972019,2.5539180933705405
17,Illinois,12854526.0,37.7,61229.0,32924.0,1698613.0,13.214123959140927,3.82207792025937
18,Indiana,6614418.0,37.5,52182.0,27305.0,933540.0,14.113713406077451,3.0569431807908116
19,Iowa,3118102.0,38.1,56570.0,30063.0,361343.0,11.588556115226506,2.213461907275644
20,Kansas,2903820.0,36.3,55477.0,29600.0,361285.0,12.441714706834446,2.445365070837724
21,Kentucky,4424376.0,38.6,46535.0,25888.0,783586.0,17.710655694723958,3.1804937012586634
23,Maine,1330158.0,44.3,53024.0,29886.0,166904.0,12.547682305410335,2.765836840435497
22,Louisiana,4663461.0,36.4,46710.0,26205.0,887574.0,19.03251683674421,3.3705867809337313
25,Massachusetts,6789319.0,39.4,74167.0,39913.0,727546.0,10.71603794136054,3.3119080131600827
24,Maryland,5996079.0,38.5,78916.0,39070.0,566966.0,9.455612576151848,3.308412047272893
26,Michigan,9925568.0,39.6,52668.0,28938.0,1510841.0,15.221708218612779,3.643358244082354
27,Minnesota,5490726.0,37.9,65699.0,34712.0,560995.0,10.217137041622546,2.3769170051464963
28,Mississippi,2986220.0,36.9,42009.0,22500.0,620007.0,20.762268017761585,3.944317565350175
29,Missouri,6075300.0,38.4,51542.0,28282.0,861679.0,14.183316050236202,2.895643013513736
30,Montana,1029862.0,39.8,50801.0,28706.0,144198.0,14.001681778723752,2.43488933468756
31,Nebraska,1893921.0,36.3,56675.0,29866.0,220330.0,11.633536984911197,2.0529367381216006
33,New Hampshire,1331848.0,42.7,71305.0,36914.0,104470.0,7.843988202857984,2.5202575669295597
32,Nevada,2887725.0,37.7,55434.0,28450.0,405263.0,14.033988693521717,4.026872364923945
34,New Jersey,8960161.0,39.6,76475.0,39069.0,938252.0,10.471374342492282,3.662512314231854
35,New Mexico,2084828.0,37.3,46718.0,25257.0,420293.0,20.159600696076605,3.5355434597002726
36,New York,19798228.0,38.4,62765.0,35752.0,2908471.0,14.690562205870142,3.4617643558807383
37,North Carolina,10052564.0,38.4,50320.0,28123.0,1579871.0,15.716099892524932,3.504449213155967
38,North Dakota,745475.0,35.1,61285.0,34256.0,79374.0,10.647439551963513,1.4869713940776015
39,Ohio,11609756.0,39.3,52407.0,29011.0,1683890.0,14.504094659698275,3.2622132627076743
40,Oklahoma,3896251.0,36.3,49767.0,26461.0,612714.0,15.725732248769393,2.704522886230892
41,Oregon,4025127.0,39.2,56119.0,30410.0,587248.0,14.589552081213835,3.4319165581607733
42,Pennsylvania,12790505.0,40.7,56951.0,31476.0,1623537.0,12.693298661780752,3.2994475198594584
44,Rhode Island,1056138.0,39.9,61043.0,33315.0,136126.0,12.889035334397589,3.658044687341995
45,South Carolina,4893444.0,39.0,48781.0,26645.0,790657.0,16.157475185166113,3.4792877981233667
46,South Dakota,855444.0,36.8,54126.0,28761.0,114885.0,13.429867998372774,1.9893762771145744
47,Tennessee,6597381.0,38.6,48708.0,27277.0,1072360.0,16.25432880108031,3.194540378977658
48,Texas,27419612.0,34.3,57051.0,28985.0,4291384.0,15.650783096420183,2.86250585894505
49,Utah,2993941.0,30.5,65325.0,26907.0,324856.0,10.850447620711297,2.1481385237718444
50,Vermont,624636.0,42.8,57808.0,31917.0,68144.0,10.909393630850607,2.3964356841424443
51,Virginia,8365952.0,38.0,68766.0,36268.0,906838.0,10.839627098027815,2.828703774537554
54,West Virginia,1836843.0,42.2,44061.0,24774.0,317089.0,17.262716519593674,3.1390271242561285
53,Washington,7169967.0,37.6,66174.0,34869.0,859950.0,11.993779050865925,3.0519108386412377
56,Wyoming,583200.0,37.0,60938.0,31214.0,63398.0,10.87071330589849,2.4792524005486967
55,Wisconsin,5763217.0,39.2,56759.0,30557.0,692719.0,12.019658465055194,2.520658167131309
