,State,n_incidents,t_killed,t_injured,poverty_rate,unemployment_rate,income
0, AK,303,67,68,15.301096694444444,5.591253738888889,64655.0
1, AL,1416,530,835,20.10026452622951,3.733828901639345,40892.40983606558
2, AR,754,193,404,19.24259552181818,3.144749520000001,39973.29090909091
3, AZ,572,281,296,20.02537004285714,3.8990085,45068.0
4, CA,4432,1373,1892,15.520318003921567,3.7945696647058824,62172.37254901961
5, CO,784,192,296,12.394924497058824,2.8688885205882344,58634.294117647056
6, CT,620,73,255,8.841533787500001,3.699089775,74496.0
7, DC,1142,100,340,16.51197,4.6519064000000006,77649.0
8, DE,384,56,240,11.974548266666668,3.1315781,61294.666666666664
9, FL,3851,874,1702,15.89745874067797,3.2194649525423733,48064.13559322034
10, GA,1952,644,1043,19.8074739375,3.489982525892859,45439.21428571428
11, HI,59,7,20,11.202868225,2.5951545,70391.25
12, IA,579,69,229,11.117271894339623,2.16097258490566,53740.47169811321
13, ID,152,39,32,14.987636204166668,2.6114269833333332,47117.291666666664
14, IL,5064,956,3625,13.32770968196721,3.2728616868852445,55061.688524590165
15, IN,1450,398,729,12.83424386447369,2.6894737565789466,52324.18421052631
16, KS,573,149,262,13.288862599999998,2.188216293023256,50344.395348837206
17, KY,969,261,493,20.30099743478261,3.1844648184782613,42500.836956521736
18, LA,1949,539,1171,20.34276936296296,3.4306501499999986,43459.57407407407
19, MA,1531,112,414,10.955618527272728,3.419457081818182,70695.09090909091
20, MD,1523,456,828,9.662422171857141,3.0950229989047617,75692.14285714286
21, ME,66,9,7,13.25302073,2.77310242,51894.5
22, MI,1321,352,761,14.871078367924527,3.32496590754717,49904.75471698113
23, MN,754,113,281,10.963776447058825,2.14608184117647,58834.705882352944
24, MO,1690,595,910,16.49819160277778,2.801010930555555,45425.22222222222
25, MS,990,311,571,23.135211665277783,4.071557330555555,37686.916666666664
26, MT,150,36,32,14.937757934615384,2.348481607692307,47152.230769230766
27, NC,1983,514,1067,17.6438787087912,3.629645043956044,44799.054945054944
28, ND,129,15,31,12.46089159473684,1.675915005263158,62269.31578947369
29, NE,435,47,151,10.989095596774193,1.7719073999999995,54660.645161290326
30, NH,52,6,4,8.8943725625,2.4323576250000003,64387.875
31, NJ,1232,243,627,10.23953763809524,3.714625738095237,77047.76190476191
32, NM,436,123,138,21.50347879130435,3.523840691304348,44682.565217391304
33, NV,427,196,213,12.923053285714285,3.4331641428571436,58047.71428571428
34, NY,1854,304,1038,13.369629212500001,3.204638753571428,59244.16071428572
35, OH,2656,686,1505,14.353439763768113,3.053383684057971,51517.333333333336
36, OK,852,247,380,16.60464018245614,2.621731478947368,45967.05263157895
37, OR,495,94,168,15.657994338709676,3.4558460838709686,49741.290322580644
38, PA,2083,618,1159,12.31741570666667,2.946053525000001,53708.15
39, RI,172,11,75,10.9728456,3.591845433333333,66479.66666666667
40, SC,1629,372,758,19.350612146666666,3.8132812999999994,42160.22222222222
41, SD,196,17,21,18.27102186956522,2.966140843478261,50435.391304347824
42, TN,1751,460,1130,17.310946824999995,3.236368835526316,44238.98684210526
43, TX,2815,1114,1521,15.560704411764709,2.6881424272058827,51297.36029411765
44, UT,219,67,109,13.523012735294119,2.33993194117647,57048.470588235294
45, VA,1342,341,879,13.966000574725284,2.9972461395604397,56304.93406593407
46, VT,35,3,1,11.0024701625,2.43250195,57356.375
47, WA,857,224,346,14.657683507142854,3.1994464142857137,55620.82142857143
48, WI,1361,209,515,11.747317682352945,2.3745399882352944,54837.01960784314
49, WV,335,66,136,18.527512390476186,3.138952807142858,41654.142857142855
50, WY,88,9,13,10.550550807692307,2.3492805769230767,61078.153846153844
