state,n_killed
Alabama,1880
Alaska,267
Arizona,1094
Arkansas,773
California,5562
Colorado,796
Connecticut,341
Delaware,217
District of Columbia,459
Florida,3909
Georgia,2456
Hawaii,63
Idaho,166
Illinois,3409
Indiana,1608
Iowa,273
Kansas,542
Kentucky,1066
Louisiana,2179
Maine,112
Maryland,1691
Massachusetts,472
Michigan,1588
Minnesota,461
Mississippi,1176
Missouri,2136
Montana,154
Nebraska,225
Nevada,799
New Hampshire,88
New Jersey,1168
New Mexico,495
New York,1705
North Carolina,2225
North Dakota,69
Ohio,2508
Oklahoma,941
Oregon,446
Pennsylvania,2395
Rhode Island,63
South Carolina,1610
South Dakota,90
Tennessee,1824
Texas,5046
Utah,282
Vermont,57
Virginia,1459
Washington,853
West Virginia,335
Wisconsin,862
Wyoming,73
